x2,x1,cls
22.236037983700964,67.0050326676004,C1
37.955391359576325,85.95246050919863,C1
29.172504976891293,82.54400921074739,C1
21.074521648757305,87.54897206519328,C1
14.55216864632888,62.16624160037936,C1
7.013425248871776,80.50231573647872,C1
35.39536515749272,70.19255491912483,C1
39.01230483673864,74.13912943395056,C1
37.415543113211385,68.96466636652507,C1
11.680960336004636,77.3842927543411,C1
22.792084809882983,97.07907732535936,C1
21.684194816666228,72.15828454029325,C1
18.8515991325413,72.94227675746819,C1
37.252604907019794,92.39317715176227,C1
29.02137552640039,84.3244239331166,C1
29.794056877238553,73.7745427329541,C1
26.103234945842296,71.08642431386784,C1
25.350847365531507,50.767768802567495,C1
26.674422125072166,65.15095244734754,C1
12.317325833745912,63.464352361947974,C1
16.36212859228105,66.50659568618062,C1
25.257357004594777,77.97063908331631,C1
15.085351579185179,69.56856724696584,C1
15.422184702428368,65.77084378235828,C1
18.419336444598944,64.60429473207805,C1
9.69746126189966,53.10515473391761,C1
13.495866244112444,75.89165700769834,C1
16.527081048388524,66.93740528106662,C1
3.5631916531649126,89.58821318297737,C1
13.769946408901529,52.95056142468853,C1
38.3453965845775,74.79225812460771,C1
28.414938029998456,51.50897374369893,C1
31.958241492985668,60.04749537837628,C1
18.622674142235283,74.99130502022487,C1
9.256552465203246,68.95770608335819,C1
23.189234249483743,68.16298508785395,C1
6.183482375151772,65.17099332794078,C1
21.505610928345725,60.23039075208307,C1
21.234692420507173,66.9270709958775,C1
19.5228291111289,68.65986680552989,C1
34.34454346219678,78.6922552123812,C1
10.113740336621527,78.03524990234453,C1
5.794191557098173,79.14232221508931,C1
22.832521791967547,78.00172349320144,C1
5.733690057007397,90.39750094680493,C1
34.9300588974939,78.99315488411837,C1
38.53596503689126,66.4816815617793,C1
30.258932669076454,64.961977247113,C1
11.985781860587094,92.50541802021039,C1
20.040427011380253,71.61052526473651,C1
24.160991756996378,74.68323877638504,C1
27.306056799415856,84.45239811149386,C1
23.54139827142899,80.86535268257182,C1
20.219270913270428,69.79219955599494,C1
23.444743450010908,71.95045006092292,C1
23.995194513035457,54.252655638438206,C1
26.72532009475692,68.18699336600744,C1
22.639350356252944,71.59910790556731,C1
30.821683426497668,81.97781638973709,C1
17.2442155725348,59.92303327731512,C1
26.837896353970965,54.06545595435045,C1
24.854369234061835,53.588554755267396,C1
2.3679443854828843,86.88661384505649,C1
34.90800075340321,64.08752096697185,C1
9.598530060769885,55.68341660044106,C1
14.893737062112255,57.27649217730381,C1
16.362440883765338,73.72295464706698,C1
27.273137412609085,64.32985243667864,C1
21.381203401589072,54.281918774389915,C1
28.579045687314817,72.07258535471277,C1
15.660822817298186,76.67581790366332,C1
21.76142530164019,84.61835059735377,C1
22.575504822546193,87.76998070211494,C1
31.88072819528545,68.62814758399028,C1
14.59650724872328,65.25223291974382,C1
14.37601162061682,54.113811621825526,C1
25.238431747103384,94.10201525688994,C1
27.695708649871815,66.57378656487845,C1
29.035803104982392,92.44230834596503,C1
17.901974590520663,63.39749190957404,C1
68.29118395957157,24.640943626298725,C2
38.24999288088263,18.99304332039999,C2
39.46832576968759,26.804806632865112,C2
35.776937757158215,36.57716056689351,C2
17.85094961358175,30.304029403826636,C2
41.83023723738816,17.215486006189455,C2
21.006049058835615,44.290010782139376,C2
