0,0,0.5
0,10,5
0,20,9.5
0,30,14
0,40,18.5
0,50,23
0,60,26.8
0,70,30.6
0,80,34.4
0,90,38.2
0,100,42
10,0,2.4
10,10,6.64
10,20,10.88
10,30,15.12
10,40,19.36
10,50,23.6
10,60,27.28
10,70,30.96
10,80,34.64
10,90,38.32
10,100,42
20,0,4.3
20,10,8.28
20,20,12.26
20,30,16.24
20,40,20.22
20,50,24.2
20,60,27.76
20,70,31.32
20,80,34.88
20,90,38.44
20,100,42
30,0,6.2
30,10,9.92
30,20,13.64
30,30,17.36
30,40,21.08
30,50,24.8
30,60,28.24
30,70,31.68
30,80,35.12
30,90,38.56
30,100,42
40,0,8.1
40,10,11.56
40,20,15.02
40,30,18.48
40,40,21.94
40,50,25.4
40,60,28.72
40,70,32.04
40,80,35.36
40,90,38.68
40,100,42
50,0,10
50,10,13.2
50,20,16.4
50,30,19.6
50,40,22.8
50,50,26
50,60,29.2
50,70,32.4
50,80,35.6
50,90,38.8
50,100,42
60,0,13.4
60,10,16.52
60,20,19.64
60,30,22.76
60,40,25.88
60,50,29
60,60,32.32
60,70,35.64
60,80,38.96
60,90,42.28
60,100,45.6
70,0,16.8
70,10,19.84
70,20,22.88
70,30,25.92
70,40,28.96
70,50,32
70,60,35.44
70,70,38.88
70,80,42.32
70,90,45.76
70,100,49.2
80,0,20.2
80,10,23.16
80,20,26.12
80,30,29.08
80,40,32.04
80,50,35
80,60,38.56
80,70,42.12
80,80,45.68
80,90,49.24
80,100,52.8
90,0,23.6
90,10,26.48
90,20,29.36
90,30,32.24
90,40,35.12
90,50,38
90,60,41.68
90,70,45.36
90,80,49.04
90,90,52.72
90,100,56.4
100,0,27
100,10,29.8
100,20,32.6
100,30,35.4
100,40,38.2
100,50,41
100,60,44.8
100,70,48.6
100,80,52.4
100,90,56.2
100,100,60
